p_up,n,gercek_yukari_orani,ort_tahmin
"(0.0, 0.4]",1861,0.5336,0.3644
"(0.4, 0.45]",6003,0.5397,0.4308
"(0.45, 0.5]",19715,0.5392,0.4786
"(0.5, 0.55]",29323,0.5304,0.5248
"(0.55, 0.6]",20564,0.5531,0.5728
"(0.6, 1.0]",18553,0.5882,0.6628
