,0
btc_r21,457
gold_spy_mom,455
corr_spy63,447
try_r5,408
eur_r5,320
evt_iran,317
evt_oil,315
evt_fed,296
evt_sanction,295
vix_pct,293
vix_z,290
oil_r5,287
month,269
vix_chg5,252
evt_china,244
evt_tariff,244
vol21,210
hi52_dist,136
sma200_gap,126
kurt63,108
r63,101
obv_slope,100
range_pos60,94
round_dist,90
volu_trend,88
rsi14,87
macd_hist,78
sma50_gap,77
squeeze,76
du20,75
r21,66
skew21,64
sma20_gap,64
trendiness,63
boll_b,61
dd20,57
r5,57
vol_ratio,56
is_fx,50
volu_z,46
is_stock,42
pv_diverge,40
r10,39
r1,37
dow,27
streak,25
is_crypto,14
news_cnt,12
reversal,10
is_commodity,10
risk_off,9
news_sent1,6
news_sent3,6
news_cnt_z,4
